SEZ2011,P1,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,0-5anni,6-19 anni,20-64 anni,over 65 anni,OBJECTID,PRO_COM,SEZ,TIPO_LOC,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis,geometry,P1divSHAPE
151460000043.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51583,15146,43,1,2347.13283386000,197.36743543400,0.00000000000,2.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.189322,45.466482 9.189745,45.466302 9.189356,45.465919 9.18928,45.465849 9.18888,45.466096 9.189322,45.466482</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000044.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51584,15146,44,1,5804.28644688000,341.52121925200,0.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.18928,45.465849 9.189356,45.465919 9.189608,45.465767 9.189605,45.464934 9.188881,45.46494 9.188432,45.464935 9.18868,45.465163 9.18928,45.465849</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000045.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51585,15146,45,1,2987.73810992000,218.79672275400,0.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.188881,45.46494 9.189605,45.464934 9.189593,45.464464 9.188868,45.464461 9.188881,45.46494</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
151460000046.00000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,51586,15146,46,1,2839.71939988000,213.13461593600,2.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.188868,45.464461 9.189593,45.464464 9.189592,45.464013 9.188856,45.464021 9.188855,45.464284 9.188868,45.464461</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.07042949384662849
151460000047.00000000,19,0,0,1,1,0,1,0,1,1,1,1,1,1,2,1,7,0,10.5263157894737,36.8421052631579,52.6315789473684,51587,15146,47,1,14080.50629900000,607.98457807200,30.00000000000,1.00000000000,1,5.2600000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.190336,45.464004 9.189592,45.464013 9.189593,45.464464 9.189605,45.464934 9.189608,45.465767 9.189356,45.465919 9.189745,45.466302 9.19034,45.465942 9.190336,45.464004</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.1349383296064388
151460000048.00000000,21,2,0,1,0,0,1,0,1,2,0,1,2,5,1,1,4,9.52380952380952,4.76190476190476,57.1428571428571,28.5714285714286,51588,15146,48,1,13145.90814280000,577.21514093600,25.00000000000,1.00000000000,1,4.7600000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.191108,45.464931 9.191105,45.463991 9.190336,45.464004 9.19034,45.465942 9.191045,45.465511 9.191598,45.465187 9.19162,45.464934 9.191108,45.464931</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.1597455251617719
151460000049.00000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0,51589,15146,49,1,4695.54930616000,299.38918138300,1.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.191105,45.463991 9.191108,45.464931 9.19162,45.464934 9.191742,45.463991 9.191105,45.463991</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.021296762844937426
151460000050.00000000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,20,80,51590,15146,50,1,6432.19575000000,365.51734364500,11.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.19162,45.464934 9.191598,45.465187 9.192029,45.464971 9.192607,45.464214 9.19264,45.463989 9.191742,45.463991 9.19162,45.464934</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.07773395267082785
151460000051.00000000,18,0,0,0,2,3,0,0,1,0,3,3,2,0,2,2,0,0,11.1111111111111,66.6666666666667,22.2222222222222,51591,15146,51,1,10326.48410110000,493.28453811900,22.00000000000,1.00000000000,2,10.5300000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.192607,45.464214 9.192029,45.464971 9.191598,45.465187 9.191945,45.465449 9.1923,45.465249 9.192585,45.465053 9.193475,45.464498 9.193738,45.46417 9.193125,45.463987 9.19264,45.463989 9.192607,45.464214</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.17430908549099108
151460000053.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51593,15146,53,1,8764.42166396000,393.67363387300,0.00000000000,1.00000000000,0,0.0000000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>9.19034,45.465942 9.189745,45.466302 9.190258,45.466687 9.190908,45.466383 9.19157,45.466132 9.191462,45.465939 9.191337,45.465783 9.191045,45.465511 9.19034,45.465942</coordinates></LinearRing></outerBoundaryIs></Polygon>",0.0
