OBJECTID,PRO_COM,SEZ,TIPO_LOC,SEZ2011,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis
51886,15146,452,1,151460000452,8992.0073094,458.80702064,214,2,24,13.87
51889,15146,457,1,151460000457,6483.75093704,332.87805826,0,2,0,0
51921,15146,492,1,151460000492,4833.9051818,288.564542775,92,2,10,14.29
54574,15146,472,1,151460000472,3916.71201191,361.039252995,20,2,6,40
49631,15146,604,1,151460000604,20255.6799809,742.450808347,72,2,10,12.82
51581,15146,41,1,151460000041,5222.27607079,306.961534082,0,2,0,0
51641,15146,102,1,151460000102,43083.0246222,865.455556862,401,2,77,22.13
51654,15146,116,1,151460000116,7488.90981268,429.559965477,139,2,12,9.68
51666,15146,128,1,151460000128,8901.76048808,449.144447467,0,2,0,0
51678,15146,140,1,151460000140,22138.4563114,757.684984664,86,2,19,22.35
51682,15146,144,1,151460000144,2337.12111678,304.322343548,7,2,0,0
51736,15146,275,1,151460000275,1137.9916554,134.334961761,0,2,0,0
51848,15146,389,1,151460000389,7021.80311576,449.374440533,25,2,4,17.39
51861,15146,426,1,151460000426,113955.850178,1671.12526876,4,2,0,0
51872,15146,438,1,151460000438,13573.9971883,480.891474853,264,2,24,9.45
51874,15146,440,1,151460000440,3941.10723056,252.455629514,31,2,2,7.41
51881,15146,447,1,151460000447,1537.83654072,272.128393539,0,2,0,0
51885,15146,451,1,151460000451,12595.9849076,487.753496287,154,2,14,9.4
51896,15146,465,1,151460000465,19202.3190001,765.810252271,379,2,15,4.32
51913,15146,483,1,151460000483,26955.7328006,659.370648485,522,2,23,4.95
51922,15146,493,1,151460000493,29621.4380635,698.546851418,66,2,7,12.07
51583,15146,43,1,151460000043,2347.13283386,197.367435434,0,2,0,0
51658,15146,120,1,151460000120,5059.63272434,308.710465507,64,2,3,5.26
51665,15146,127,1,151460000127,7896.60161631,359.38205452,44,2,10,45.45
51679,15146,141,1,151460000141,4446.15237298,401.647546827,48,2,1,2.22
51865,15146,430,1,151460000430,17263.6279097,621.38210131,460,2,39,9.09
51877,15146,443,1,151460000443,25961.7759998,673.792091455,210,2,32,14.81
51907,15146,477,1,151460000477,8239.33876064,414.609507594,121,2,5,4.67
51915,15146,485,1,151460000485,15520.9799186,599.165070648,326,2,23,8.36
54569,15146,434,1,151460000434,3028.21664745,222.946026501,67,2,5,7.58
51627,15146,88,1,151460000088,15635.2023222,512.638811074,70,2,15,24.19
51633,15146,94,1,151460000094,14747.4994317,499.248419991,82,2,11,18.03
51638,15146,99,1,151460000099,15256.0338617,652.343613462,44,2,8,22.22
51649,15146,111,1,151460000111,5503.62443392,307.391972582,20,2,1,5.88
51655,15146,117,1,151460000117,4172.38430419,316.939937341,83,2,7,8.75
51659,15146,121,1,151460000121,4651.4433152,312.976132233,79,2,1,1.37
51667,15146,129,1,151460000129,3219.39623648,229.297295564,31,2,3,9.09
51862,15146,427,1,151460000427,248477.506931,2214.36609848,0,2,0,0
51866,15146,431,1,151460000431,7694.5719672,373.421530463,107,2,13,13.98
51868,15146,433,1,151460000433,16055.7892808,550.346534034,26,2,1,4
51871,15146,437,1,151460000437,13685.2909392,486.081600104,244,2,19,8.8
51875,15146,441,1,151460000441,30170.6362182,712.524402496,322,2,51,16.56
51878,15146,444,1,151460000444,34859.3568835,864.618125972,72,2,10,10.64
51879,15146,445,1,151460000445,6108.20141132,373.474096172,0,2,0,0
51900,15146,469,1,151460000469,9188.64025694,441.424670763,253,2,10,4.13
51903,15146,473,1,151460000473,20263.4540583,747.374391027,419,2,34,8.31
51905,15146,475,1,151460000475,3230.27287032,451.471467996,11,2,1,9.09
51908,15146,478,1,151460000478,13964.6186923,586.572498581,109,2,5,4.81
51920,15146,491,1,151460000491,3703.7724688,286.632601324,57,2,6,13.33
51630,15146,91,1,151460000091,7485.9205066,383.6897199,71,2,3,4.35
51637,15146,98,1,151460000098,6788.63744312,338.761935161,34,2,4,16
51642,15146,103,1,151460000103,14911.4477263,564.072542561,95,2,10,12.99
51644,15146,106,1,151460000106,10252.8366038,514.209605646,135,2,21,19.09
51673,15146,135,1,151460000135,3031.64142468,223.982292926,107,2,5,5.1
51897,15146,466,1,151460000466,3626.53385308,328.553695521,33,2,9,27.27
51899,15146,468,1,151460000468,7612.07087971,489.264264919,211,2,12,5.94
51904,15146,474,1,151460000474,19598.1653666,584.582366718,571,2,47,9.18
51912,15146,482,1,151460000482,37973.0457014,826.825579305,490,2,20,4.27
51919,15146,490,1,151460000490,14320.0617312,472.16620908,137,2,4,3.33
54568,15146,104,1,151460000104,5823.63078164,338.281932886,72,2,4,5.97
54573,15146,456,1,151460000456,6104.20810192,342.111924966,115,2,17,16.19
54575,15146,488,1,151460000488,3661.19254028,244.244245894,9,2,0,0
49630,15146,603,1,151460000603,27930.4782645,873.55130688,95,2,2,2.22
51582,15146,42,1,151460000042,5001.06730428,293.594845922,0,2,0,0
51623,15146,84,1,151460000084,3434.12218752,305.071394774,0,2,0,0
51629,15146,90,1,151460000090,2971.4966272,255.511670617,12,2,4,30.77
51631,15146,92,1,151460000092,7901.34635642,369.794815776,81,2,4,4.94
51640,15146,101,1,151460000101,20969.7054617,595.580226902,121,2,30,30
51645,15146,107,1,151460000107,26302.6229521,714.072479918,95,2,12,13.79
51648,15146,110,1,151460000110,7162.30799157,358.486881028,119,2,11,11
51677,15146,139,1,151460000139,2932.26555716,313.324119042,31,2,11,31.43
51681,15146,143,1,151460000143,2366.9115781,312.818698189,62,2,6,10.71
51869,15146,435,1,151460000435,11388.7367724,535.373441115,288,2,25,10.29
51883,15146,449,1,151460000449,8107.63363338,376.423899444,75,2,4,7.41
51910,15146,480,1,151460000480,32413.3091553,806.153671398,137,2,7,5.34
51918,15146,489,1,151460000489,17706.6024788,532.424042255,215,2,13,6.53
51923,15146,494,1,151460000494,20755.4796044,577.95212219,287,2,38,13.72
48836,15146,5318,1,151460005318,14311.8944658,496.748900312,336,3,32,10.06
48840,15146,5322,1,151460005322,9820.22129256,463.878738306,274,3,18,6.95
48841,15146,5323,1,151460005323,5874.04861116,422.017574429,163,3,3,2.14
48845,15146,5327,1,151460005327,25135.1644766,646.485460829,163,3,17,10.83
48864,15146,5347,1,151460005347,9390.86646008,457.534314944,268,3,25,10.08
48872,15146,5355,1,151460005355,6172.25434292,347.850808194,341,3,75,23.36
48876,15146,5359,1,151460005359,12387.4357244,451.65765501,306,3,21,7.22
