SEZ2011,P1,ST1,ST2,%ST,FST,%MST,ST9,ST10,ST11,ST12,ST13,%STCONTEU,%STCONTAF,%STCONTAM,%STCONTAS,%STCONTOC,PF1,DMFAM,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,RES1,RES2,RES3,ST1,ST2,ST3,ST/RES1,ST/RES2,ST/RES3
151460000028.00000000,110,13,4,11.8181818181818,9,69.2307692307692,3,1,2,7,0,23.0769230769231,7.69230769230769,15.3846153846154,53.8461538461539,0,50,2.2,6,9,3,6,3,7,7,9,5,7,9,7,10,5,8,9,34,37,39,3,7,3,8.82352941176471,18.9189189189189,7.69230769230769
151460000029.00000000,163,28,10,17.1779141104294,18,64.2857142857143,9,1,7,11,0,32.1428571428571,3.57142857142857,25,39.2857142857143,0,74,2.2027027027027,7,16,10,7,4,1,8,14,16,22,11,6,9,7,6,19,45,71,47,10,18,0,22.2222222222222,25.3521126760563,0
151460000030.00000000,112,11,5,9.82142857142857,6,54.5454545454546,4,1,2,4,0,36.3636363636364,9.09090909090909,18.1818181818182,36.3636363636364,0,59,1.89830508474576,1,0,6,10,3,8,3,4,13,14,8,7,5,13,7,10,28,42,42,2,9,0,7.14285714285714,21.4285714285714,0
151460000031.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
151460000032.00000000,68,4,1,5.88235294117647,3,75,1,0,0,3,0,25,0,0,75,0,40,1.7,2,3,1,3,3,2,7,6,4,2,2,6,6,9,5,7,14,21,33,0,2,2,0,9.52380952380952,6.06060606060606
151460000033.00000000,40,6,1,15,5,83.3333333333333,1,0,1,4,0,16.6666666666667,0,16.6666666666667,66.6666666666667,0,18,2.22222222222222,1,2,1,4,1,2,1,3,2,7,0,5,8,3,0,0,11,13,16,2,2,2,18.1818181818182,15.3846153846154,12.5
151460000034.00000000,15,2,1,13.3333333333333,1,50,0,0,2,0,0,0,0,100,0,0,8,1.875,0,0,0,0,0,1,1,0,0,2,1,2,2,2,1,3,1,4,10,0,1,1,0,25,10
151460000035.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
151460000036.00000000,27,1,0,3.7037037037037,1,100,0,0,0,1,0,0,0,0,100,0,12,2.25,1,2,2,2,2,0,1,0,1,3,5,2,1,1,0,4,9,10,8,0,1,0,0,10,0
151460000037.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
151460000038.00000000,20,1,1,5,0,0,0,0,0,1,0,0,0,0,100,0,12,1.66666666666667,0,0,1,1,1,1,0,0,2,2,3,0,2,2,2,3,4,7,9,0,1,0,0,14.2857142857143,0
151460000039.00000000,0,0,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
